,logFC,AveExpr,t,P.Value,adj.P.Val,B,Significance
ITPR1,-1.15249765694798,0.000351830888360754,-21.7662867060444,1.69551321902126e-92,1.26171616193467e-88,199.97303690476,Down-regulated
TOP2A,1.51758348116097,0.00289424427410116,21.4662358712078,2.67171431928795e-90,7.95262484279251e-87,194.945450607624,Up-regulated
PCLAF,1.14409615109199,0.00123616841992687,20.5647158321346,8.41516700312814e-84,2.08738217512594e-80,180.079150806832,Up-regulated
CENPF,1.12162468937362,0.00217347907605119,18.4631855701856,2.59613694440345e-69,1.67992635406768e-66,146.938955917303,Up-regulated
NCAPG,1.08315856214047,0.00236277127867154,18.2960909426965,3.34028409179533e-68,2.07139367242458e-65,144.401949121095,Up-regulated
RYR2,-1.04140156935035,-8.45591164533825e-05,-17.6994790025923,2.69506378556664e-64,1.21547376729055e-61,135.469086348699,Down-regulated
SLC12A5,-1.10539903228658,-0.000649019181718464,-17.0931411804286,2.04731389939122e-60,6.92503926469079e-58,126.597520037664,Down-regulated
CRTAM,-1.07142186847638,-0.000829836132541134,-16.8078841544714,1.27218033256685e-58,3.20912879484617e-56,122.4982295001,Down-regulated
NUSAP1,1.07848385235102,0.00263306251358927,16.6504783749131,1.21645063685204e-57,2.92007013359176e-55,120.257052792385,Up-regulated
ELMOD1,-1.24597213234703,-0.000162315167580742,-16.2495234389937,3.5750489230647e-55,7.19019636783405e-53,114.616217503952,Down-regulated
GABRA6,-1.63200620684208,-0.00103304346617916,-15.8277497221084,1.26761004837974e-52,2.0962044833373e-50,108.790000801088,Down-regulated
RIMS1,-1.05593426642985,0.00068746919134674,-15.4204196502215,3.30307814270524e-50,4.55182518498909e-48,103.270419758167,Down-regulated
NAP1L2,-1.16512532975506,-0.000366510357099331,-14.7288865892963,3.25853614622115e-46,3.23311956428062e-44,94.1476249049293,Down-regulated
PBK,1.00797142793909,0.00167401670725168,14.7126001934663,4.03111467813317e-46,3.92124704278798e-44,93.9366100044141,Up-regulated
DACH1,1.11949578566573,0.00174582652918952,14.6912437866644,5.32691235667281e-46,5.08207926951034e-44,93.6601765200896,Up-regulated
FAT2,-1.28824104165574,-9.74647696526523e-05,-14.6057818072947,1.62011748866823e-45,1.44384482538019e-43,92.5570569507839,Down-regulated
TMSB15A,1.00128284194607,0.00258193688884826,14.5694210598327,2.596714618752e-45,2.26005284625064e-43,92.0892231036568,Up-regulated
KCND2,-1.25771841462359,0.00119512207367459,-14.5090246376084,5.67378051696472e-45,4.79789064965829e-43,91.3141213753314,Down-regulated
CBLN3,-1.07466793424348,-0.00129702805313833,-14.2656787058924,1.29006772215003e-43,9.36589166280923e-42,88.2163920282714,Down-regulated
SCN2A,-1.31276418773271,3.27676252285177e-05,-14.226062857934,2.13705236979915e-43,1.52180624017803e-41,87.7159474790185,Down-regulated
CD24,1.06747377470294,0.00264095046429007,13.8483670362298,2.48854864105521e-41,1.52415923558949e-39,82.9995407747069,Up-regulated
ALDOC,-1.09491268180199,-0.00022358006583589,-13.6252351072486,3.94596790789021e-40,2.23299773281863e-38,80.2603434890642,Down-regulated
SPHKAP,-1.3049422573291,0.000586327588056064,-12.9690929778497,1.08616139897984e-36,4.55361692986395e-35,72.4124419176942,Down-regulated
PVALB,-1.19578638282021,-0.000149503177696529,-12.8302221970528,5.57812258979968e-36,2.15634281828542e-34,70.7917102779748,Down-regulated
GABRA1,-1.03889110104621,0.0002335199047532,-11.9668276324164,1.05793619322877e-31,2.75748938070468e-30,61.038889144968,Down-regulated
UNC13C,-1.12434746569297,0.0008298681023766,-11.9061294584293,2.07011913417894e-31,5.24865129028709e-30,60.3745624022994,Down-regulated
RIT2,-1.07641907347827,-0.000646394343083485,-11.7968343210129,6.88411303524781e-31,1.6768617725629e-29,59.1855201183649,Down-regulated
RASGRP1,-1.02982808008624,0.000156621241681903,-11.5643305863165,8.60336310184262e-30,1.90598801460595e-28,56.6868962399213,Down-regulated
CADPS2,-1.0491247966369,0.00131356845825716,-11.1323486858188,8.39275852350883e-28,1.62009630486877e-26,52.1571174173059,Down-regulated
SYNPR,-1.00729065506382,-0.000229174098537478,-10.8688103264827,1.2765990502078e-26,2.22217820634417e-25,49.4664311358756,Down-regulated
PLP1,-1.14106696559824,0.000944371917306519,-10.3082377922533,3.46854153373614e-24,5.01674476643293e-23,43.9295815222977,Down-regulated
MGP,1.16726793154652,0.00318892775423522,10.2622297035908,5.4326114997553e-24,7.76691229114872e-23,43.4865464203884,Up-regulated
GRIA4,-1.00864678936745,0.000863674407678244,-9.2933320419558,4.59579167467302e-20,4.8441336752237e-19,34.5658065656444,Down-regulated
OTX2,1.07784982343095,0.00131871864046313,7.56848091835312,6.25852647176383e-14,3.97209592662094e-13,20.6796491097537,Up-regulated
